w,w1,l21,l22,w2,FOM
1.5,1.5,6.8,6.3,1.0,2422.408291837888
1.5,1.5,6.8,6.3,1.5,2483.369503133083
1.5,1.5,6.8,6.3,2.0,2489.6880860190795
1.5,1.5,6.8,6.3,2.5,2530.3638701221503
1.5,1.5,6.8,6.3,3.0,2604.931524174488
1.5,1.5,6.8,6.3,3.5,2710.196649358022
1.5,1.5,6.8,6.8,1.0,2389.4748438912175
1.5,1.5,6.8,6.8,1.5,2404.018522045603
1.5,1.5,6.8,6.8,2.0,2424.962862142248
1.5,1.5,6.8,6.8,2.5,2453.8147617256486
1.5,1.5,6.8,6.8,3.0,2511.1965477593453
1.5,1.5,6.8,6.8,3.5,2594.7689865340744
1.5,1.5,6.8,7.3,1.0,2391.7221346497236
1.5,1.5,6.8,7.3,1.5,2370.02548247027
1.5,1.5,6.8,7.3,2.0,2379.506033335814
1.5,1.5,6.8,7.3,2.5,2401.089635432358
1.5,1.5,6.8,7.3,3.0,2436.0223447398803
1.5,1.5,6.8,7.3,3.5,2544.517031758761
1.5,1.5,6.9,6.3,1.5,2460.2715194888965
1.5,1.5,7.0,6.3,1.5,2476.7248882092263
1.5,1.5,7.1,6.3,1.5,2490.9656210201492
1.5,1.5,7.2,6.3,1.5,2501.100294847336
1.5,1.5,7.3,6.3,1.0,2511.2442929830268
1.5,1.5,7.3,6.3,1.5,2510.5758429112407
1.5,1.5,7.3,6.3,2.0,2513.3766252893615
1.5,1.5,7.3,6.3,2.5,2562.169551526563
1.5,1.5,7.3,6.3,3.0,2630.3063921523194
1.5,1.5,7.3,6.3,3.5,2759.079170783393
1.5,1.5,7.3,6.8,1.0,2391.789573142958
1.5,1.5,7.3,6.8,1.5,2370.061510420011
1.5,1.5,7.3,6.8,2.0,2379.5568510717376
1.5,1.5,7.3,6.8,2.5,2401.137242134385
1.5,1.5,7.3,6.8,3.0,2436.0904373055573
1.5,1.5,7.3,6.8,3.5,2544.6002936243403
1.5,1.5,7.3,7.3,1.0,2308.5562642974896
1.5,1.5,7.3,7.3,1.5,2302.413894237884
1.5,1.5,7.3,7.3,2.0,2294.980366233404
1.5,1.5,7.3,7.3,2.5,2295.765670214313
1.5,1.5,7.3,7.3,3.0,2319.980243187584
1.5,1.5,7.3,7.3,3.5,2365.7543670022746
1.5,1.6,6.3,6.3,1.5,2438.2796167790534
1.5,1.7,6.3,6.3,1.5,2428.348136599235
1.5,1.8,6.3,6.3,1.5,2421.394126473218
1.5,1.9,6.3,6.3,1.5,2372.523611865948
1.5,2.0,6.3,6.3,1.0,2344.9536922728385
1.5,2.0,6.3,6.3,1.5,2404.4954772239635
1.5,2.0,6.3,6.3,2.0,2421.7507327432786
1.5,2.0,6.3,6.3,2.5,2487.9151386887775
1.5,2.0,6.3,6.3,3.0,2566.358657050439
1.5,2.0,6.3,6.3,3.5,2665.808467495613
1.5,2.0,6.3,6.8,1.0,2375.189882669316
